Date,Operator,Aboard,Fatalities
01/06/1957,American Airlines,10,1
01/11/1957,Fuerza Aérea Argentina,33,17
01/23/1957,Lanica,16,16
01/29/1957,Air France,70,2
01/31/1957,Douglas Aircraft,6,5
02/01/1957,Northeast Airlines,101,21
03/02/1957,Alaska Airlines,5,5
03/09/1957,AVIANCA,15,15
03/14/1957,British European Airways,20,20
03/18/1957,Lloyd Aereo Boliviano,19,19
04/07/1957,Varig,40,40
04/08/1957,Air France,34,34
04/10/1957,REAL,30,26
04/15/1957,Transportes Aéreos Mexicanos,3,3
04/20/1957,Air France,1,1
05/01/1957,Eagle Aviation,35,34
05/05/1957,Indian Airlines,3,1
05/09/1957,Aviaco,37,37
05/13/1957,Lineas Aereas del Estado,16,16
05/13/1957,U.S. Overseas Airways,3,2
05/13/1957,Indian Airlines,2,2
06/14/1957,LOT Polish Airlines,13,9
06/18/1957,Swissair,9,9
06/22/1957,Capital Airlines,3,3
06/23/1957,Queen Charlotte Airlines,18,14
07/01/1957,Pakistan International Airlines,24,24
07/16/1957,KLM Royal Dutch Airlines,68,58
07/25/1957,Western Airlines,16,1
08/11/1957,Maritime Central Airways,79,79
08/15/1957,Aeroflot,23,23
08/20/1957,Indamer,8,8
08/29/1957,Sahsa Airlines,12,12
09/03/1957,Avensa,8,8
09/15/1957,Northeast Airlines,24,12
09/18/1957,REAL,35,1
09/28/1957,British European Airways,3,3
10/03/1957,Lebanese International Airways,27,27
10/23/1957,British European Airways,7,7
10/28/1957,Iberia Airlines,21,21
10/30/1957,Transportes Aereos Mexicanos,3,3
11/06/1957,Bristol Aeroplane Co.,15,15
11/09/1957,Pan American World Airways,44,44
11/15/1957,Aviaco,4,4
11/15/1957,Aquilla Airways,58,43
11/21/1957,Straits Air Freight Express,4,4
12/08/1957,Aerolineas Argentinas,61,61
12/10/1957,Northern Wings,3,3
12/11/1957,Philippine Air Lines,12,2
12/23/1957,Scottish Airlines,4,4
12/31/1957,Aerolineas Argentinas,51,9
01/16/1958,Cruzeiro,3,3
01/20/1958,TAM (Bolivia),11,11
02/01/1958,Loide Aéreo Nacional,67,5
05/15/1958,Pakistan International Airlines,38,21
02/06/1958,British European Airways,44,23
02/19/1958,Réseau Aérien Interinsulaire,15,15
02/27/1958,Silver City Airways,42,35
03/07/1958,Misrair,26,8
03/22/1958,Private,4,4
03/24/1958,Indian Airlines,20,20
03/25/1958,Braniff Airlines,24,9
04/02/1958,Transportes Aereos Orientales,14,3
04/06/1958,Capital Airlines,47,47
04/07/1958,AREA,32,32
04/14/1958,Aviaco,16,16
05/18/1958,Sabena,65,61
05/25/1958,Dan-Air Services,5,4
05/31/1958,Air France,15,15
05/31/1958,Paraense Transportes Aéreos,4,4
06/02/1958,Pan American World Airways,57,1
06/02/1958,Aeronaves de Mexico,45,45
06/04/1958,Capital Airlines,3,1
06/16/1958,Cruzeiro,27,19
06/25/1958,Indian Airlines,7,7
07/09/1958,Indian Airlines,3,3
08/09/1958,Central African Airways,54,36
08/12/1958,All Nippon Airways,33,33
08/12/1958,LANSA,10,10
08/14/1958,KLM Royal Dutch Airlines,99,99
08/15/1958,Northeast Airlines,34,24
08/15/1958,Aeroflot,64,64
09/02/1958,Independent Air Travel,3,3
09/05/1958,Loide Aereo Nacional,18,13
09/09/1958,Flying Tiger Line,8,8
09/29/1958,Middle East Airlines,5,5
10/14/1958,Linea Aeropostal Venezolana,23,23
10/15/1958,TAM (Bolivia),20,20
